period,era,start,end,rps,ir,momentum_sign,blend,n_assets_scored
1,M6,2022-03-07,2022-04-04,0.15849549625,-1.2015171729515208,-0.10000000000000002,0.25,100
2,M6,2022-04-04,2022-05-02,0.1517090009375,3.7462881901415095,-0.206874309150233,0.3125,90
3,M6,2022-05-02,2022-05-31,0.15388541909777775,6.149268399686106,-0.23049445493801538,0.27,90
4,M6,2022-05-31,2022-06-27,0.1543441411261111,0.563160030585142,-0.22570967762798866,0.25833333333333336,100
5,M6,2022-06-27,2022-07-25,0.16146150325,4.109370234167852,-0.2181508056098451,0.25,100
6,M6,2022-07-25,2022-08-22,0.15578787625328128,2.1844294462904243,-0.2125637317992736,0.30625,100
7,M6,2022-08-22,2022-09-19,0.15220233518315018,3.2496979639577392,-0.1863512635217057,0.31666666666666665,91
8,M6,2022-09-19,2022-10-17,0.15803140822780218,3.1791916797045543,-0.17413626218471684,0.29500000000000004,91
9,M6,2022-10-17,2022-11-14,0.1635658722629752,-2.7712969485365577,-0.15925806752681007,0.31363636363636366,100
10,M6,2022-11-14,2022-12-12,0.15568317450631314,-0.2887813411165996,-0.14486416335982197,0.3625,99
11,M6,2022-12-12,2023-01-09,0.15826056223925647,2.4959494530361583,-0.128097399986872,0.36538461538461536,99
12,M6,2023-01-09,2023-02-02,0.1708767119478974,-9.195882798195578,-0.11398983890184362,0.3821428571428571,99
13,extended-yr1,2023-02-02,2023-03-02,0.1596895306223129,-4.507265922197459,-0.09724619252577375,0.4233333333333333,98
14,extended-yr1,2023-03-02,2023-03-30,0.16372547032760681,-2.2780348428793347,-0.1048000755652737,0.440625,98
15,extended-yr1,2023-03-30,2023-04-27,0.157273307868212,-0.5792987583153896,-0.11798355293606944,0.4735294117647059,98
16,extended-yr1,2023-04-27,2023-05-25,0.15536351619625535,0.8622878749649721,-0.10430756046675196,0.4694444444444444,98
17,extended-yr1,2023-05-25,2023-06-22,0.15851684633697496,11.491152960538157,-0.11221465645055817,0.45526315789473687,98
18,extended-yr1,2023-06-22,2023-07-20,0.15298750527646682,3.6276568360044767,-0.1018306426735978,0.4625,98
19,extended-yr1,2023-07-20,2023-08-17,0.15792870638131104,-3.299380258148232,-0.0884762525308351,0.44047619047619047,98
20,extended-yr1,2023-08-17,2023-09-14,0.15366492241735538,6.0159672648246,-0.08786178427656986,0.4431818181818182,98
21,extended-yr1,2023-09-14,2023-10-12,0.15325210079429807,1.2059924217518538,-0.09108605112601968,0.43260869565217386,98
22,extended-yr1,2023-10-12,2023-11-09,0.15948780421845768,-0.5451490322726648,-0.08444854009397236,0.4229166666666666,98
23,extended-yr1,2023-11-09,2023-12-07,0.1583938514341143,3.363071461336659,-0.08798134928621824,0.43399999999999994,98
24,extended-yr1,2023-12-07,2024-01-04,0.16277105897782576,0.5654863849143119,-0.08102123777088141,0.44038461538461526,98
25,extended-yr2,2024-01-04,2024-02-01,0.1477059232835657,7.734802251771053,-0.07319112596325918,0.4574074074074075,98
26,extended-yr2,2024-02-01,2024-02-29,0.1538804435729709,4.883674424641324,-0.07086447879362402,0.4410714285714286,98
27,extended-yr2,2024-02-29,2024-03-28,0.1562736161751741,2.955353893049144,-0.06092324008140462,0.4327586206896552,98
28,extended-yr2,2024-03-28,2024-04-25,0.16988732497861675,-4.567369097460653,-0.05391253622358516,0.4316666666666667,98
29,extended-yr2,2024-04-25,2024-05-23,0.15640996614285713,4.744396935236354,-0.041616449576755754,0.45,98
30,extended-yr2,2024-05-23,2024-06-20,0.15438722137427255,1.2208454903402417,-0.04158776457797702,0.45156250000000003,98
31,extended-yr2,2024-06-20,2024-07-18,0.15642543780511517,-2.1404722508008684,-0.03982076368516387,0.446969696969697,98
32,extended-yr2,2024-07-18,2024-08-15,0.160751356485837,-1.8493118714476915,-0.04762541597608655,0.44558823529411773,98
33,extended-yr2,2024-08-15,2024-09-12,0.15277568056632235,0.7891620143131752,-0.0472267012850538,0.4557142857142857,98
34,extended-yr2,2024-09-12,2024-10-10,0.157705283238359,-1.303301426694789,-0.047066362433753624,0.44305555555555554,98
35,extended-yr2,2024-10-10,2024-11-07,0.14712169963126295,5.195731861591355,-0.05327892076842596,0.44459459459459455,98
36,extended-yr2,2024-11-07,2024-12-05,0.15160949010460947,8.508315252748474,-0.05290838515101389,0.4328947368421052,98
